조사일자,생태구,기상,표층수온,저층수온,표층염분,저층염분,표층pH,저층pH,표층DO,저층DO,표층chl,저층Chl-a,수질지수
2011-02-04 09:36:00,동해,맑음,5.89,6.46,32.81,33.86,8,8,9.85448135593221,9.82258983050848,2.001,2.001,2
2011-02-04 09:50:00,동해,맑음,6.56,4.66,33.14,33.1,8,8,9.59934915254238,9.6312406779661,0.87,0.406,1
2011-02-04 10:30:00,동해,맑음,6.87,4.64,33.66,33.29,8,8,9.37610847457627,9.61529491525424,0.8728,0.203,1
2011-02-04 10:41:00,동해,맑음,6.2,6.57,33.38,34.04,8,8,9.64718644067797,9.42394576271187,1.102,1.0992,1
2011-02-04 10:51:00,동해,맑음,5.72,6.81,33.46,33.94,8,8,9.98204745762712,10.1415050847458,2.436,5.3388,2
2011-02-04 11:26:00,동해,맑음,5.58,4.71,33.53,33.86,8,8,10.0458305084746,9.93421016949153,2.697,2.9,2
2011-02-04 11:48:00,동해,맑음,4.62,3.4,33.43,33.84,8,8,10.587986440678,10.0458305084746,4.6718,1.102,2
2011-02-04 12:16:00,동해,맑음,3.7,2.93,33.32,33.83,8,8,10.7314983050847,10.0298847457627,3.567,0.87,2
2011-02-04 12:38:00,동해,맑음,3.6,4.27,33.57,33.85,8,8,11.0025762711864,10.4125830508475,2.4622,6.467,2
2011-02-04 12:50:00,동해,맑음,3.69,4.15,33.67,33.86,8,8,11.0823050847458,10.1255593220339,2.436,2.001,2
2011-02-04 12:59:00,동해,맑음,3.64,4.28,33.18,33.8,8,8,10.9547389830508,11.1460881355932,2.9,3.799,3
2011-02-04 13:28:00,동해,맑음,3.69,3.83,33.67,33.67,8,8,11.0025762711864,11.1620338983051,2.001,2.9,1
2011-02-04 13:53:00,동해,맑음,3.79,4.25,33.43,33.82,8,8,10.9866305084746,10.8590644067797,2.204,6.264,2
2011-02-04 14:25:00,동해,맑음,3.55,3.94,33.34,33.71,8,8,11.0823050847458,11.3055457627119,2.668,3.5642,3
2011-02-04 14:50:00,동해,맑음,4.24,3.94,32.92,33.43,8,8,10.1893423728814,10.3806915254237,2.436,2.668,3
2011-02-04 14:57:00,동해,맑음,4.03,3.99,33.6,33.58,8,8,11.2896,11.3693288135593,3.567,3.567,3
2011-02-05 08:03:00,동해,맑음,4.77,4.44,32.15,33.48,8,8,16.6154847457627,13.7930847457627,21.1242,47.4254,3
2011-02-05 08:21:00,동해,맑음,3.85,4.17,32.46,33.72,8,8,12.2304,12.2144542372881,7.8562,16.3766,3
2011-02-05 08:30:00,동해,맑음,3.76,3.92,33.57,33.8,8,8,11.1620338983051,11.0982508474576,6.264,6.699,3
2011-02-05 08:41:00,동해,맑음,3.75,3.92,33.87,33.81,8,8,11.2258169491525,10.5560949152542,6.467,5.8,3
2011-02-05 08:48:00,동해,맑음,3.85,3.33,33.68,33.84,8,8,11.2577084745763,10.9866305084746,6.9338,6.96,3
2011-02-05 09:59:00,동해,맑음,2.79,3.49,33.27,33.79,8,8,11.5766237288136,10.4444745762712,3.335,1.9982,3
2011-02-05 10:19:00,동해,맑음,2.33,2.39,33.33,33.51,8,8,11.6085152542373,11.5606779661017,2.697,2.8972,3
2011-02-05 10:39:00,동해,맑음,3.16,3.08,33.12,33.02,8,8,11.5766237288136,11.5766237288136,2.697,2.9,3
2011-02-05 12:30:00,동해,맑음,4.45,2.84,33.5,33.84,8,8,11.3852745762712,10.1893423728814,6.467,1.334,3
2011-02-05 12:51:00,동해,맑음,4.34,3.18,33.93,33.89,8,8,11.2098711864407,10.4444745762712,6.496,1.769,3
2011-02-05 13:05:00,동해,맑음,4.22,4.32,33.91,33.83,8,8,11.3533830508475,11.1301423728814,6.4932,5.829,3
2011-02-05 13:29:00,동해,맑음,4.23,3.9,33.78,33.88,8,8,11.6244610169492,10.3488,6.032,4.0282,3
2011-02-05 14:16:00,동해,맑음,4.47,4.17,33.88,33.82,8,8,11.5447322033898,11.4968949152542,3.5642,4.466,3
2011-02-05 14:36:00,동해,맑음,4.04,3.42,33.72,33.86,8,8,11.3055457627119,10.3647457627119,3.103,3.103,3
2011-02-05 14:48:00,동해,맑음,4.01,4.1,33.49,33.85,8,8,11.4650033898305,10.8112271186441,2.6652,5.597,3
2011-02-05 14:53:00,동해,맑음,3.86,4.15,33.5,33.81,8,8,11.3533830508475,11.0185220338983,2.6652,6.032,3
2011-02-08 10:10:00,서해중부,맑음,2.81,2.66,30.29,30.53,8,8,12.2806408323531,11.8693717413973,7.859,7.6242,2
2011-02-08 10:42:00,서해중부,맑음,3.79,2.96,28.14,29.97,8,8,11.9640172194186,12.167548734146,5.133,7.3922,2
2011-02-08 11:02:00,서해중부,맑음,3.76,2.9,28.15,30.09,8,8,11.8070595731125,11.8326666226303,5.3912,8.758,2
2011-02-08 11:20:00,서해중부,맑음,3.79,3.28,28.04,28.49,8,8,12.2475190213337,11.3621409444797,4.698,5.365,2
2011-02-08 11:55:00,서해중부,맑음,4.69,5.4,24.05,24.88,8,8,11.9849887223458,12.0137856863512,9.425,15.073,2
2011-02-08 12:10:00,서해중부,맑음,4.85,4.85,18.48,18.48,8,8,12.0730017849248,12.0730017849248,9.00000000000001,9.00000000000001,3
2011-02-16 11:43:00,서해중부,맑음,0.74,0.6,30.36,30.48,7,7,12.2193245518683,11.9822404157943,2.204,4.408,3
2011-02-16 12:22:00,서해중부,맑음,0.64,0.68,30.8,30.87,8,8,12.6906439865414,12.5976288638308,7.5924,9.3904,3
2011-02-16 13:07:00,서해중부,맑음,0.7,0.67,30.45,30.46,8,8,12.4860003640719,12.4399674941139,4.002,4.002,3
2011-02-16 13:49:00,서해중부,맑음,1.15,0.96,29.73,29.96,8,8,12.6983136507669,12.4420988646831,4.06,3.596,3
2011-02-16 14:36:00,서해중부,맑음,1.21,1.19,29.15,29.17,8,8,12.3709454057508,12.4540827841871,4.524,3.6016,3
2011-02-16 16:07:00,서해중부,맑음,1.13,1.01,29.89,30.01,8,8,12.0511150498317,12.0956222383754,3.596,10.7076,3
2011-02-17 08:30:00,대한해협,구름많음,3.79,3.72,32.45,33.01,8,8,16.8236682760781,15.4799351222158,29.8232,2.745528,2
2011-02-17 09:00:00,대한해협,구름조금,3.81,3.68,32.67,33.05,8,8,13.7248157477006,13.6763727152674,22.3702,12.262,3
2011-02-17 09:40:00,서해중부,구름조금,1.85,1.84,31.51,31.53,8,8,14.1511160547976,13.7298049914555,15.239,17.0803333333333,3
2011-02-17 09:45:00,대한해협,구름많음,9.51,9.99,32.7,33.83,7,7,8.57,8.2,1.131,1.5064056,3
2011-02-17 09:46:00,대한해협,구름조금,6.3713,7.763,33.4317,34.0728,8,8,11.1931714047967,10.4424886494218,5.65636363636364,6.53232323232323,2
2011-02-17 10:20:00,대한해협,구름많음,9.55,10.0,32.95,33.82,7,7,8.3,8.4,1.7662,1.2442,3
2011-02-17 10:40:00,서해중부,맑음,0.82,0.77,31.02,31.03,8,8,12.1815976809902,12.0970606020417,3.915,3.741,3
2011-02-17 10:40:00,서해중부,구름조금,1.8,1.77,31.53,31.53,8,8,14.6688516190174,13.8346607381017,15.6693333333333,21.237,2
2011-02-17 11:04:00,대한해협,구름조금,6.9473,6.9485,33.279,33.2784,8,8,10.5673469901639,10.512779188628,4.02897384305835,4.73529411764706,2
2011-02-17 11:08:00,대한해협,구름많음,9.42,10.15,32.85,33.89,7,8,9.19,8.89,1.073,0.667,2
2011-02-17 11:29:00,서해중부,맑음,1.11,1.06,31.15,31.17,8,8,11.7827459151734,11.6317890404247,1.0992,2.871,2
2011-02-17 11:37:00,대한해협,구름많음,9.9,10.77,33.83,34.17,8,8,9.4,8.92,0.841,0.841,1
2011-02-17 11:47:00,대한해협,구름조금,10.5355,6.8626,33.5028,33.5572,8,8,10.3566541150828,11.2109141508145,2.72424242424242,5.3968,2
2011-02-17 12:12:00,서해중부,맑음,1.21,1.2,31.22,31.22,8,8,11.7328894444463,11.7647237723152,2.001,3.161,2
2011-02-17 12:28:00,서해중부,구름조금,2.55,2.51,31.81,31.81,7,7,12.2606235188501,11.9546753229182,1.49833333333333,1.84133333333333,1
2011-02-17 12:30:00,대한해협,구름많음,4.21,4.05,33.07,33.17,8,8,9.81924436421965,13.0750291417425,1.769,4.4398,1
2011-02-17 12:46:00,대한해협,구름조금,7.0367,6.8833,33.4321,33.4293,8,8,10.7125424844442,10.8134470554727,6.7018,7.17987927565392,2
2011-02-17 13:18:00,서해중부,구름조금,2.05,1.97,31.68,31.68,8,8,13.7961437129572,13.630083023489,10.744,10.3666666666667,2
2011-02-17 13:20:00,대한해협,구름조금,4.47,4.03,32.77,33.14,8,8,12.2259617654163,11.2091909826562,1.5632,3.132,1
